Date Time,dissolved oxygen(ppm)
9/14/2019 12:04,7.47
9/14/2019 12:05,7.48
9/14/2019 12:36,7.11
9/14/2019 12:36,7.37
9/14/2019 12:37,7.4
9/14/2019 12:37,7.41
9/14/2019 12:38,7.42
9/14/2019 12:38,7.42
9/14/2019 12:38,7.43
9/14/2019 12:39,7.44
9/14/2019 12:39,7.44
9/14/2019 12:40,7.44
9/14/2019 12:40,7.44
9/14/2019 12:41,7.44
9/14/2019 12:41,7.45
9/14/2019 12:41,7.45
9/14/2019 12:42,7.44
9/14/2019 12:42,7.44
9/14/2019 12:43,7.46
9/14/2019 12:43,7.44
9/14/2019 12:43,7.45
9/14/2019 12:44,7.44
9/14/2019 12:44,7.44
9/14/2019 12:45,7.45
9/14/2019 12:45,7.44
9/14/2019 12:46,7.45
9/14/2019 12:46,7.45
9/14/2019 12:46,7.45
9/14/2019 12:47,7.46
9/14/2019 12:47,7.46
9/14/2019 12:48,7.46
9/14/2019 12:48,7.46
9/14/2019 12:49,7.48
9/14/2019 12:49,7.47
9/14/2019 12:49,7.48
9/14/2019 12:50,7.53
9/14/2019 12:50,7.49
9/14/2019 12:51,7.49
9/14/2019 12:51,7.49
9/14/2019 12:51,7.5
9/14/2019 12:52,7.5
9/14/2019 12:52,7.52
9/14/2019 12:53,7.49
9/14/2019 12:53,7.49
9/14/2019 12:54,7.48
9/14/2019 12:54,7.48
9/14/2019 12:54,7.48
9/14/2019 12:55,7.49
9/14/2019 12:55,7.48
9/14/2019 12:56,7.48
9/14/2019 12:56,7.48
9/14/2019 12:57,7.48
9/14/2019 12:57,7.49
9/14/2019 12:57,7.49
9/14/2019 12:58,7.49
9/14/2019 12:58,7.49
9/14/2019 12:59,7.5
9/14/2019 12:59,7.5
9/14/2019 13:01,7.38
9/14/2019 13:02,7.48
9/14/2019 13:02,7.49
9/14/2019 13:03,7.52
9/14/2019 13:03,7.51
9/14/2019 13:03,7.51
9/14/2019 13:04,7.52
9/14/2019 13:04,7.53
9/14/2019 13:05,7.52
9/14/2019 13:36,7.14
9/14/2019 13:37,7.42
9/14/2019 13:37,7.46
9/14/2019 13:38,7.46
9/14/2019 13:38,7.46
9/14/2019 13:38,7.46
9/14/2019 13:39,7.47
9/14/2019 13:39,7.47
9/14/2019 13:40,7.48
9/14/2019 13:40,7.48
9/14/2019 13:41,7.49
9/14/2019 13:41,7.47
9/14/2019 13:41,7.48
9/14/2019 13:42,7.48
9/14/2019 13:42,7.48
9/14/2019 13:43,7.5
9/14/2019 13:43,7.49
9/14/2019 13:43,7.48
9/14/2019 13:44,7.48
9/14/2019 13:44,7.48
9/14/2019 13:45,7.48
9/14/2019 13:45,7.48
9/14/2019 13:46,7.48
9/14/2019 13:46,7.47
9/14/2019 13:46,7.48
9/14/2019 13:47,7.46
9/14/2019 13:47,7.47
9/14/2019 13:48,7.48
9/14/2019 13:48,7.47
9/14/2019 13:49,7.47
9/14/2019 13:49,7.48
9/14/2019 13:49,7.47
9/14/2019 13:50,7.47
9/14/2019 13:50,7.47
9/14/2019 13:51,7.46
9/14/2019 13:51,7.46
9/14/2019 13:51,7.47
9/14/2019 13:52,7.47
9/14/2019 13:52,7.47
9/14/2019 13:53,7.47
9/14/2019 13:53,7.47
9/14/2019 13:54,7.47
9/14/2019 13:54,7.47
9/14/2019 13:54,7.47
9/14/2019 13:55,7.47
9/14/2019 13:55,7.46
9/14/2019 13:56,7.61
9/14/2019 13:56,7.45
9/14/2019 13:57,7.48
9/14/2019 13:57,7.47
9/14/2019 13:57,7.47
9/14/2019 13:58,7.47
9/14/2019 13:58,7.48
9/14/2019 13:59,7.48
9/14/2019 13:59,7.48
9/14/2019 14:03,7.47
9/14/2019 14:03,7.49
9/14/2019 14:03,7.48
9/14/2019 14:04,7.48
9/14/2019 14:04,7.48
9/14/2019 14:05,7.48
9/14/2019 14:37,7.39
9/14/2019 14:37,7.46
9/14/2019 14:38,7.46
9/14/2019 14:38,7.47
9/14/2019 14:39,7.48
9/14/2019 14:39,7.48
9/14/2019 14:39,7.48
9/14/2019 14:40,7.49
9/14/2019 14:40,7.5
9/14/2019 14:41,7.48
9/14/2019 14:41,7.57
9/14/2019 14:42,7.49
9/14/2019 14:42,7.47
9/14/2019 14:42,7.49
9/14/2019 14:43,7.5
9/14/2019 14:43,7.5
9/14/2019 14:44,7.49
9/14/2019 14:44,7.49
9/14/2019 14:45,7.49
9/14/2019 14:45,7.49
9/14/2019 14:45,7.49
9/14/2019 14:46,7.49
9/14/2019 14:46,7.49
